Company Name,Designation,Founded Year,Total Employees,Industry,Latest Funding Amount,Annual Revenue,Company Linkedin Url,Growth Alert,Workday Status,No.of People in CX sheet,No.of phone number,Account Status
Dextroware Device,Founder & CEO,2020,5,electrical/electronic manufacturing,Not Known,1900000.0,https://www.linkedin.com/company/dextrowaredevices/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
Vayuguard Climate Tech,Chief Technology Officer,2022,10,environmental services,Not Known,1900000.0,https://www.linkedin.com/company/vayuguard-climate-tech-pvt-ltd/,Not Defined,Not Known,0.0,0.0,Active
SalaryBook,Co-Founder and COO,2020,5,financial services,Not Known,1900000.0,https://www.linkedin.com/company/salary-book,Not Defined,Not Known,0.0,0.0,Not Active
Axlemechanic Technologies,Chief Executive Officer,2022,7,automotive,Not Known,1900000.0,https://www.linkedin.com/company/axlemechanic/,Not Defined,Not Known,0.0,0.0,Active
Prevalent Automotive,Chief Technology Officer,2021,8,automotive,Not Known,1900000.0,https://www.linkedin.com/company/prevalent-automotives/,Not Defined,Not Known,0.0,0.0,Inactive
Go Devil,Founder,2021,4,apparel & fashion,Not Known,1900000.0,https://www.linkedin.com/company/go-devil/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Clapjoy Innovations Private Limited,Company Owner,2020,4,e-learning,Not Known,1900000.0,https://www.linkedin.com/company/clapjoy-innovations-llp,Not Defined,Not Known,0.0,0.0,Active
Sajilo Services,Co-Founder,2021,3,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/sajilo-services/,Not Defined,Not Known,0.0,0.0,Active
Voltreum,Chief Technology Officer,2022,8,utilities,Not Known,1900000.0,https://www.linkedin.com/company/voltreum,Not Defined,Not Known,0.0,0.0,Active
Cabbery,Co-Founder & CEO,2020,2,apparel & fashion,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Studio Kuumba,"Founder, Creative Director",2021,1,design,Not Known,1900000.0,https://www.linkedin.com/company/studio-kuumba/,Not Defined,Not Known,0.0,0.0,Active
The Quirky Naari,Founder,2018,7,apparel & fashion,Not Known,1900000.0,https://www.linkedin.com/company/the-quirky-naari,Not Defined,Not Known,0.0,0.0,Not Active
Sorting Swans Ecosocial,Co-Founder,2021,3,renewables & environment,Not Known,1900000.0,https://www.linkedin.com/company/sortingswans/,Not Defined,Not Known,0.0,0.0,Active
MAKSPay,Chief Operations Officer,2020,6,financial services,Not Known,1900000.0,https://www.linkedin.com/company/makspay,Not Defined,Not Known,0.0,0.0,Active
Net Zero Pro,Co-Founder,2021,7,environmental services,Not Known,1900000.0,https://www.linkedin.com/company/netzeropro-ai,Not Defined,Not Known,0.0,0.0,Active
AstroKun,Chief Executive Officer,2020,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/astrokun/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Xomoy Innovatives,Co-founder of Baahi Music Streaming Platform,2021,5,entertainment,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
GridXenergy,Co-Founder,2021,7,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/gridxenergy/,Not Defined,Not Known,0.0,0.0,Active
Mazinda,Co-Founder and CEO,2021,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/mazinda/,Not Defined,Not Known,0.0,0.0,Active
SPACE AND TECH ENGINEERING,Chief Technology Officer,2022,7,aviation & aerospace,Not Known,1900000.0,https://www.linkedin.com/company/space-and-tech-engineering-sate/,Not Defined,Not Known,0.0,0.0,Active
IntoTheVerse,Co-Founder,2021,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/intotheverse/,Not Defined,Not Known,0.0,0.0,Active
Looppanel,Co-Founder,2020,9,information technology & services,1000000,1900000.0,https://www.linkedin.com/company/looppanel/,Not Defined,Not Known,0.0,0.0,Active
Jatayu Healthcare Technologies,Co-Founder and CEO,2020,3,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/jatayu-healthcare-technologies/,Not Defined,Not Known,0.0,0.0,Not Active
Strip Finance,Co-Founder,2020,3,financial services,471111,1900000.0,https://in.linkedin.com/company/stripfinance,Not Defined,Not Known,0.0,0.0,Active
YellowSkye,Founder,2021,1,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/yellowskye,Not Defined,Not Known,0.0,0.0,Active
Assistaid Healthcare,Co-Founder and Director,2020,1,medical devices,Not Known,1900000.0,https://www.linkedin.com/company/assistaid-healthcare/,Not Defined,Not Known,0.0,0.0,Active
Yo Man!,Co-Founder,2020,4,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/yo-man/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Albatross Energetics,Cofounder & CTO,2021,8,machinery,Not Known,1900000.0,https://www.linkedin.com/company/albatross-energetics/,Not Defined,Not Known,0.0,0.0,Active
Marcos Gaming,Founder,2020,9,civic & social organization,Not Known,1900000.0,Not Created,Not Defined,No Match,0.0,0.0,Active
Zinikus,Co-Founder,2022,4,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/zinikus-ai/?viewAsMember=true,Not Defined,Not Known,0.0,0.0,Active
Badi Bahen,Founder,2021,6,financial services,Not Known,1900000.0,https://www.linkedin.com/company/badibahen/,Not Defined,Not Known,0.0,0.0,Active
STANDARDE,Founder & CEO,2020,8,retail,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Inactive
AYKA CONTROL SYSTEMS,Co-Founder,2021,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/ayka-control-systems/,Not Defined,Not Known,0.0,0.0,Active
The Theatre Project,Co-Founder,2020,8,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/the-theatre-project,Not Defined,Not Known,0.0,0.0,Active
Omniflo,Co-Founder,2021,6,retail,Not Known,1900000.0,https://www.linkedin.com/company/omniflo/,Not Defined,Not Known,0.0,0.0,Active
Not That High,Chief Operations Officer,2022,6,retail,Not Known,1900000.0,https://www.linkedin.com/company/notthathigh/,Not Defined,Not Known,0.0,0.0,Active
THREMEAR,Managing Director & CEO,2020,2,medical devices,Not Known,1900000.0,https://in.linkedin.com/company/thremear-private-limited,Not Defined,Not Known,0.0,0.0,Not Active
bhk.ai,Co-Founder,2022,3,real estate,Not Known,1900000.0,https://www.linkedin.com/company/bhk-ai/,Not Defined,Not Known,0.0,0.0,Active
KasperTech,Founder,2020,6,electrical/electronic manufacturing,Not Known,1900000.0,https://www.linkedin.com/company/kaspertech/,Not Defined,Not Known,0.0,0.0,Active
Introbot,Start-up Owner,2020,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/introbotai,Not Defined,Not Known,0.0,0.0,Not Active
The Convo Space,Co-Founder,2021,1,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/theconvospace,Not Defined,Not Known,0.0,0.0,Not Active
Provoltus Energy Services,Founder & Managing Partner,2016,8,renewables & environment,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Life and Limb,Chief Technology Officer,2020,5,medical devices,Not Known,1900000.0,https://www.linkedin.com/company/lifeandlimbai/,Not Defined,Not Known,0.0,0.0,Active
IQSOFT Technologies,Founder & Director,2020,2,hospital & health care,Not Known,1900000.0,https://in.linkedin.com/company/iqsoft-technologies,Not Defined,Not Known,0.0,0.0,Not Active
Broki Services,Co-Founder,2020,6,management consulting,Not Known,1900000.0,https://www.linkedin.com/company/broki-services/,Not Defined,Not Known,0.0,0.0,Not Active
GenWise,Co-Founder,2023,40,individual & family services,3500000,1000000.0,https://www.linkedin.com/company/genwiseofficial/,Not Defined,Not Known,0.0,0.0,Active
Ambiator,Co-Founder,2022,6,machinery,Not Known,1900000.0,https://www.linkedin.com/company/ambiator,Not Defined,Not Known,0.0,0.0,Active
Consuma,Founder,2021,9,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/consuma-ai,Not Defined,Not Known,0.0,0.0,Active
82Volt,Chief Growth Officer,2020,7,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/82volt,NO,No Match,0.0,0.0,Active
Dubdub.ai,Co-Founder,2021,6,translation & localization,1000000,1900000.0,https://www.linkedin.com/company/dubdub-ai/,Not Defined,Not Known,0.0,0.0,Not Active
Deliq Finance,Co-Founder,2021,1,information technology & services,2100000,1900000.0,https://www.linkedin.com/company/deliqfinance,Not Defined,Not Known,0.0,0.0,Not Active
Blingg,Founder and CEO,2021,5,online media,100000,1900000.0,https://www.linkedin.com/company/theblinggclub,Not Defined,Not Known,0.0,0.0,Not Active
InACan,Co-Founder,2020,6,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/inacan-cocktails/,Not Defined,Not Known,0.0,0.0,Active
Amritatva,Director Co-Founder,2021,3,food production,Not Known,1900000.0,https://in.linkedin.com/company/amritatva,Not Defined,Not Known,0.0,0.0,Active
WarpBay,Founder & CEO at WarpBay,2021,8,events services,Not Known,1900000.0,https://www.linkedin.com/company/warpbay/,Not Defined,Not Known,0.0,0.0,Not Active
Regeno Ventures,Founder/MD,2017,5,semiconductors,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Not Active
Jigyasa Rurban,Co-Founder,2020,8,retail,Not Known,1900000.0,https://in.linkedin.com/company/jigyasa-rurban-distribution-services-pvt-ltd,Not Defined,Not Known,0.0,0.0,Not Active
Habbits,Co-Founder,2022,8,mechanical or industrial engineering,Not Known,1900000.0,https://www.linkedin.com/company/habbits-in/,Not Defined,Not Known,0.0,0.0,Active
House Of Brands Company,Founder,2020,10,luxury goods & jewelry,Not Known,1000000.0,https://www.linkedin.com/company/houseofbrandscompany/,Not Defined,Not Known,0.0,0.0,Not Active
Unlogged,Co-Founder,2022,5,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/videobug/,Not Defined,Not Known,0.0,0.0,Not Active
LLMate,Co-Founder and CTO,2023,9,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/llmate/,Not Defined,Not Known,0.0,0.0,Active
Kandola,Founder CEO,2021,6,information technology & services,450000,1900000.0,https://www.linkedin.com/company/kandola-network,Not Defined,Not Known,0.0,0.0,Not Active
Fanztar,Co-Founder & CTO,2022,10,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/fanztar,Not Defined,Not Known,0.0,0.0,Active
Tersho,Co-Founder,2022,3,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/tersho,Not Defined,Not Known,0.0,0.0,Not Active
NKure Therapeutics,Chief Executive Officer,2020,10,research,Not Known,1900000.0,https://www.linkedin.com/company/nkure-therapeutics,Not Defined,Not Known,0.0,0.0,Active
BillionE (BillionElectric),Chief Operating Officer,2021,8,automotive,10000000,1900000.0,https://www.linkedin.com/company/billionelectric,Not Defined,Not Known,0.0,0.0,Not Active
Maya,Founder & CEO,2011,1,information technology & services,Not Known,27901000.0,https://www.linkedin.com/company/mayalabsio/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Sarathi Healthcare,Founder - CEO,2020,10,hospital & health care,121974,800000.0,https://in.linkedin.com/company/sarathi-healthcare,Not Defined,Not Known,0.0,0.0,Active
Mentza,Co-Founder,2020,17,information technology & services,400000,1000000.0,https://www.linkedin.com/company/mentzacircles/,Not Defined,Not Known,0.0,0.0,Active
Accomation,Co-Founder,2022,10,accounting,Not Known,1900000.0,https://www.linkedin.com/company/accomation,Not Defined,Not Known,0.0,0.0,Active
Dreams Redeveloped,Founder,2020,5,real estate,Not Known,1900000.0,https://www.linkedin.com/company/dreamsredeveloped,Not Defined,Not Known,0.0,0.0,Not Active
Humalect,Co-Founder and CEO,2020,2,information technology & services,750000,1900000.0,https://www.linkedin.com/company/humalect/,Not Defined,Not Known,0.0,0.0,Active
Mello,Founder,2022,4,consumer services,Not Known,1900000.0,https://www.linkedin.com/company/mellofun,Not Defined,Not Known,0.0,0.0,Active
ARYAV,Cofounder and COO,2020,3,utilities,Not Known,1900000.0,https://www.linkedin.com/company/aryavawg/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
Silifarm Technologies,Founder and CEO,2020,4,electrical/electronic manufacturing,Not Known,1900000.0,https://www.linkedin.com/company/silifarm/,Not Defined,Not Known,0.0,0.0,Active
DrPashu Technologies,Chief Technology Officer,2021,9,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/drpashu-technologies/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
Covesto,Co-Founder,2021,4,financial services,Not Known,1900000.0,https://www.linkedin.com/company/covesto-in/,Not Defined,Not Known,0.0,0.0,Not Active
Proximal Soilsens Technologies,Chief Executive Officer,2017,9,retail,Not Known,1900000.0,https://www.linkedin.com/company/soilsens,Not Defined,Not Known,0.0,0.0,Active
Hydrotec Solutions,Co-Founder,2014,7,renewables & environment,Not Known,15896000.0,https://www.linkedin.com/company/hydrotecsolutions,Not Defined,Not Known,0.0,0.0,Active
Arza,Chief Executive Officer,2023,4,apparel & fashion,Not Known,1900000.0,https://www.linkedin.com/company/arzalifestyle/,Not Defined,Not Known,0.0,0.0,Active
Kaarigar Mandi,Co-Founder,2019,7,wholesale,Not Known,1900000.0,https://www.linkedin.com/company/kaarigarmandi/,Not Defined,Not Known,0.0,0.0,Active
Capitall,Co-Founder/CTO,2022,4,financial services,Not Known,1900000.0,https://www.linkedin.com/company/capitall-finances,Not Defined,Not Known,0.0,0.0,Active
Fibonacci Global,Chief Executive Officer,2020,2,management consulting,Not Known,1900000.0,https://www.linkedin.com/company/fibonacci-global/,Not Defined,Not Known,0.0,0.0,Not Active
3Sisters Drinks,Co-Founder,2019,8,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/3sistersdrinks,Not Defined,Not Known,0.0,0.0,Not Active
Meukron Technologies,Founder & CEO,2022,1,machinery,Not Known,1900000.0,https://www.linkedin.com/company/meukron-technologies/,Not Defined,Not Known,0.0,0.0,Active
Harvested Robotics,Co-Founder,2023,4,farming,Not Known,1900000.0,https://www.linkedin.com/company/harvested-robotics/,Not Defined,Not Known,0.0,0.0,Active
Advick AgVenture,Co-Founder,2023,6,aviation & aerospace,Not Known,1900000.0,https://www.linkedin.com/company/advick-agventure/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Clairco,Co-founder & Chief Business Officer,2018,26,real estate,572613,1900000.0,https://in.linkedin.com/company/clairco,Not Defined,Not Known,0.0,0.0,Active
Biostim,Co-Founder,2023,4,medical devices,Not Known,1900000.0,https://www.linkedin.com/company/biostim/,Not Defined,No Match,0.0,0.0,Active
Evermorrow Labs,Co-Founder,2020,3,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/evermorrow-labs/,Not Defined,Not Known,0.0,0.0,Active
Farm Infinity,Founder,2020,7,financial services,Not Known,1900000.0,https://www.linkedin.com/company/farminfinity/,Not Defined,Not Known,0.0,0.0,Active
Recipeat,Co-Founder,2021,8,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/recipeat,Not Defined,Not Known,0.0,0.0,Active
Sthani,Founder COO & Finance,2020,4,online media,Not Known,1900000.0,https://www.linkedin.com/company/sthani,Not Defined,Not Known,0.0,0.0,Active
QPay,Founder & CEO,2016,8,financial services,Not Known,1900000.0,http://www.linkedin.com/company/qpay-fintech,Not Defined,Not Known,0.0,0.0,Active
GoodGudi,Co Founder,2023,10,retail,Not Known,1900000.0,https://www.linkedin.com/company/goodgudi,Not Defined,Not Known,0.0,0.0,Inactive
Sprentzo,Co-Founder,2021,8,real estate,Not Known,1900000.0,https://www.linkedin.com/company/sprentzo,Not Defined,Not Known,0.0,0.0,Active
Maidaan,Co-Founder & Head Boy,2022,7,education management,Not Known,1900000.0,https://www.linkedin.com/company/maidaan-app,Not Defined,Not Known,0.0,0.0,Active
Triophore,CEO,2014,9,information technology & services,Not Known,3670000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
StationX,COO & Co-Founder,2022,6,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/stationxnetwork,Not Defined,Not Known,0.0,0.0,Active
Kursaha,Founder,2022,4,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/kursaha/,Not Defined,Not Known,0.0,0.0,Not Active
Namaste Business,Co-Founder,2015,5,retail,Not Known,1900000.0,https://www.linkedin.com/company/prokure,Not Defined,Not Known,0.0,0.0,Active
OpiGo,Founder,2022,3,financial services,Not Known,1900000.0,https://www.linkedin.com/company/officialopigo/,Not Defined,Not Known,0.0,0.0,Active
Educlouds,Founder & CEO,2021,11,e-learning,Not Known,1900000.0,https://www.linkedin.com/company/educlouds,Not Defined,Not Known,0.0,0.0,Active
Alpyne Labs,Co-Founder,2022,10,financial services,Not Known,1900000.0,https://www.linkedin.com/company/alpyne-labs/,Not Defined,Not Known,0.0,0.0,Not Active
Kriarvi koncepts,Co-Founder,2017,9,management consulting,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Not Active
Zactor,Founder,2023,5,financial services,Not Known,1900000.0,http://www.linkedin.com/company/zactor-tech,Not Defined,Not Known,0.0,0.0,Not Active
Valo,Co-Founder - Product & Marketing,2023,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/valoapp/,Not Defined,Not Known,0.0,0.0,Active
Dantech,DIRECTOR & COO,2023,7,medical devices,Not Known,1900000.0,https://www.linkedin.com/company/dantech-digital-dental-solutions/,Not Defined,Not Known,0.0,0.0,Active
Creatr,Cofounder and CTO,2023,5,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/getcreatr,Not Defined,Not Known,0.0,0.0,Active
Travotel,Co-Founder COO,2023,5,"leisure, travel & tourism",Not Known,2452000.0,https://www.linkedin.com/company/travotel,Not Defined,Not Known,0.0,0.0,Active
Doodley,Co-Founder & CEO,"Jul 15, 1905",11-50,Community and Lifestyle,—,1900000.0,https://www.linkedin.com/company/doodleypets/about/,Not Defined,Not Known,0.0,0.0,Active
Zwilling Labs,Chief Product Financial Officer,2023,6,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/zwillinglabs/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Active
Ostrich AI,Founder & C.E.O,2023,2,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/ostrichai,Not Defined,Not Known,0.0,0.0,Not Active
RavenMail,Co-Founder and CTO,2023,9,computer & network security,Not Known,1900000.0,https://www.linkedin.com/company/ravenmail/,Not Defined,Not Known,0.0,0.0,Active
CloseFuture,Founder,2023,4,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/closefuture-low-code-studio,Not Defined,Not Known,0.0,0.0,Not Active
Thrive,Co-Founder and Chief Creative Officer,2020,55,information technology & services,Not Known,2200000.0,https://www.linkedin.com/company/thrive-now,Not Defined,Not Known,0.0,0.0,Active
Cleevo,Co-Founder,2023,5,mechanical or industrial engineering,Not Known,1900000.0,https://www.linkedin.com/company/getcleevo/,Not Defined,Not Known,0.0,0.0,Active
Pragmatech Healthcare Solutions,Co-Founder and Managing Director,2019,5,hospital & health care,Not Known,1900000.0,https://www.linkedin.com/company/pragmatech-solutions,Not Defined,Not Known,0.0,0.0,Active
Qoptars,"CEO, Co founder",2020,8,consumer electronics,Not Known,1900000.0,https://www.linkedin.com/company/71645468,Not Defined,Not Known,0.0,0.0,Active
Prospeer,Founder & CEO,2021,3,information technology & services,Not Known,1900000.0,https://linkedin.com/company/prospeerdotcom/,Not Defined,Not Known,0.0,0.0,Active
PlanckDOT,Co-Founder,2022,4,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/planckdot,Not Defined,Not Known,0.0,0.0,Active
Fly X Aerospace Pvt. ltd.,Chief Executive Officer,2020,7,defense & space,Not Known,1900000.0,https://www.linkedin.com/company/fly-x-aerospace/,Not Defined,Not Known,0.0,0.0,Active
FinVedic,Co-Founder and Chief Operating Officer,2020,6,education management,Not Known,1900000.0,https://www.linkedin.com/company/finvedic,NO,No Match,0.0,0.0,Active
O' Be Cocktails,Founder & CEO,2021,9,wine & spirits,Not Known,2000000.0,https://www.linkedin.com/company/obecocktails/,Not Defined,Not Known,0.0,0.0,Not Active
EVhicle Mobility,Co-Founder,2020,3,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/evhiclemobilitypvtltd,NO,No Match,0.0,0.0,Active
Nimble Vision,CEO & Co-founder,2017,10,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/nimble-vision,Not Defined,Not Known,0.0,0.0,Active
Yenmo,Co-Founder,2020,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/yenmo-in,Not Defined,Not Known,0.0,0.0,Not Active
Yuva Pay,Founder,2016,3,financial services,Not Known,1900000.0,https://www.linkedin.com/company/yuva-pay/,Not Defined,Not Known,0.0,0.0,Active
Minifeel,Co-Founder,2021,9,mechanical or industrial engineering,Not Known,1900000.0,http://www.linkedin.com/company/minifeel,NO,No Match,0.0,0.0,Active
MealPe,Co-Founder | CEO,2023,6,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/99938142/,Not Defined,Not Known,0.0,0.0,Inactive
Knowl,Co-Founder,2022,10,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/knowlio,Not Defined,Not Known,0.0,0.0,Active
BPRISE,Founder and CEO,2016,9,information technology & services,Not Known,127000.0,http://www.linkedin.com/company/bprise-private-limited,NO,No Match,0.0,0.0,Not Active
Buckmint,Founder,2022,4,financial services,Not Known,1900000.0,https://www.linkedin.com/company/buckmint,Not Defined,Not Known,0.0,0.0,Active
Byaj Book,Co-Founder,2021,7,financial services,Not Known,1900000.0,https://www.linkedin.com/company/byajbook,Not Defined,Not Known,0.0,0.0,Active
Bull Agritech,Founder,2021,6,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/bull-agritech/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Inactive
BizPay,Founder & CEO,2021,8,information technology & services,Not Known,3000000.0,https://www.linkedin.com/company/bizpay-bp,Not Defined,Not Known,0.0,0.0,Inactive
SWIZZLE,Director and Co-founder,2020,9,food & beverages,Not Known,1900000.0,https://www.linkedin.com/company/swizzleindia,Not Defined,Not Known,0.0,0.0,Active
Staybook,Co-Founder,2017,10,hospitality,Not Known,1900000.0,https://in.linkedin.com/in/mohit-khanna-629688123,Not Defined,Not Known,0.0,0.0,Active
Infinity,Co-Founder,2023,8,financial services,Not Known,1900000.0,https://www.linkedin.com/company/infinityinvest/,Not Defined,Not Known,0.0,0.0,Inactive
HoneyVeda,CEO and Head of Strategy,2019,4,food production,Not Known,1900000.0,https://www.linkedin.com/company/honeyveda/,Not Defined,Not Known,0.0,0.0,Not Active
Rensol Technologies,Co-Founder and COO,2001,31,information technology & services,Not Known,27800000.0,https://www.linkedin.com/company/ampius-industries/,Not Defined,Not Known,0.0,0.0,Not Active
GroupWe,Co-Founder & Chief Business Officer,2020,9,automotive,Not Known,1900000.0,https://in.linkedin.com/company/groupwe,Not Defined,Not Known,0.0,0.0,Active
Happi Planet,Co-Founder,2022,6,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/happi-planet,Not Defined,Not Known,0.0,0.0,Active
Gro Club,Co-Founder,2016,3,internet,500000,1900000.0,https://www.linkedin.com/company/mygroclub/,Not Defined,Not Known,0.0,0.0,Not Active
Rupid,Founder & CEO,2020,6,financial services,Not Known,1900000.0,https://www.linkedin.com/company/rupid-india/,Not Defined,Not Known,0.0,0.0,Active
Greenikk,Co-Founder & COO,2019,7,information technology & services,611019,1900000.0,https://www.linkedin.com/company/greenikk,Not Defined,Not Known,0.0,0.0,Not Active
Aldo Compliance and Testing Labs,Founder,2018,8,legal services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Not Active
Dacby,Co-Founder,2022,9,internet,Not Known,1900000.0,https://www.linkedin.com/company/dacby1/,Not Defined,Not Known,0.0,0.0,Active
Farm Prosperity Solutions,Co-founder & Chief Business Officer,2020,21,farming,Not Known,1900000.0,https://www.linkedin.com/company/farm-prosperity-solutions/,Not Defined,Not Known,0.0,0.0,Active
The State Plate,Co-Founder & CEO (Acquired),2020,6,food & beverages,Not Known,4500000.0,https://www.linkedin.com/company/the-state-plate/,Not Defined,Not Known,0.0,0.0,Active
Comini Learning,Co-Founder,2021,6,primary/secondary education,Not Known,1900000.0,https://www.linkedin.com/company/comini-learning/,Not Defined,Not Known,0.0,0.0,Active
SeeWe,Founder & HR,2017,5,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/seewe-technologies-pvt-ltd/?viewAsMember=true,Not Defined,Not Known,0.0,0.0,Not Active
Redicine Medsol,Co-Founder,2020,8,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/redicine/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
Motozite,Co-Founder,2021,8,automotive,Not Known,1900000.0,https://www.linkedin.com/company/motozite,Not Defined,Not Known,0.0,0.0,Not Active
HiSAVE,Chief Technology Officer,2021,7,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/hisave/?viewAsMember=true,Not Defined,Not Known,0.0,0.0,Not Active
Unsweetened Beauty,Co-Founder,2020,7,consumer services,Not Known,1900000.0,https://www.linkedin.com/company/unsweetened-beauty,Not Defined,Not Known,0.0,0.0,Not Active
Interality.ai,Chief Technology Officer,2022,4,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/interality/,Not Defined,Not Known,0.0,0.0,Active
Arficus,Chief Operations Officer,2019,6,hospital & health care,Not Known,1900000.0,https://www.linkedin.com/company/arficus/,Not Defined,Not Known,0.0,0.0,Active
Billion Hearts,CTO,2024,6,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/billion-hearts-software-technologies,Not Defined,Not Known,0.0,0.0,Active
Speed Kitchen,Founding Partner - CBO,2020,10,real estate,Not Known,1000000.0,https://www.linkedin.com/company/speed-kitchen/,Not Defined,Not Known,0.0,0.0,Active
Medront,Co-Founder,2023,8,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/35470092/admin/,Not Defined,Not Known,0.0,0.0,Active
FreeStand Sampling,Chief Technology Officer,2019,10,information technology & services,400000,1800000.0,https://www.linkedin.com/company/freestandindia,Not Defined,Not Known,0.0,0.0,Active
MedPass,Co-founder & CEO,2020,8,medical practice,Not Known,1900000.0,https://www.linkedin.com/company/mediimpact/,Not Defined,Not Known,0.0,0.0,Not Active
RawRX,Founder & CEO,2021,2,"health, wellness & fitness",Not Known,1900000.0,https://www.linkedin.com/company/rawrxhealth,Not Defined,Not Known,0.0,0.0,Not Active
Rartogo,Co-Founder,2020,8,mechanical or industrial engineering,Not Known,1900000.0,https://www.linkedin.com/company/rartogo-tech-private-limited,Not Defined,Not Known,0.0,0.0,Active
Peping,Co-Founder,2020,8,information technology & services,400000,1900000.0,https://www.linkedin.com/company/peping,Not Defined,Not Known,0.0,0.0,Active
RNT Health Insights,Co-Founder,2022,3,hospital & health care,Not Known,1900000.0,https://www.linkedin.com/company/rnt-insights/,Not Defined,Not Known,0.0,0.0,Active
Craze Technologies,Founder | CTO,2020,10,information technology & services,2219970,1900000.0,https://www.linkedin.com/company/crazehq/,Not Defined,Not Known,0.0,0.0,Active
Descatuk,Co-Founder and Director Growth,2020,3,apparel & fashion,19665,1900000.0,https://www.linkedin.com/company/dev-ethical-sustainable-crafts-and-textiles/about/,Not Defined,Not Known,0.0,0.0,Active
TriGo Electric,Co-Founder,2020,9,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/trigo-electric/?originalSubdomain=in,Not Defined,Not Known,0.0,0.0,Not Active
PocketFin,Founder,2020,4,financial services,Not Known,1900000.0,https://www.linkedin.com/company/pocketfin/,Not Defined,Not Known,0.0,0.0,Active
